PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
DC0_VM0;0;38;3;3;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;122;3;10;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;13;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;122;3;10;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;1;13;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;5;2;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;99;1;15;0;12;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;6;6;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;7;2;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;1;13;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;39;1;31;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;6;6;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;105;3;7;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;1;13;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;8;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;6;6;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;6;6;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;122;3;10;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;105;3;7;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;105;3;7;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;39;1;31;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;14;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;5;2;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;55;0;40;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;15;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;67;0;12;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;122;3;10;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;5;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;29;1;3;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;6;6;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;7;6;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;5;8;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
